file_path,dataset,emotion,emotion_code,intensity,statement,actor,is_distress,distress_level,safety_action,sample_id,split
datasets/ravdess/Actor_16/03-01-05-01-02-01-16.wav,ravdess,angry,05,01,02,16,True,HIGH,ALERT,0,train
datasets/ravdess/Actor_16/03-01-06-01-02-02-16.wav,ravdess,fearful,06,01,02,16,True,HIGH,ALERT,1,train
datasets/ravdess/Actor_16/03-01-06-02-01-02-16.wav,ravdess,fearful,06,02,01,16,True,HIGH,ALERT,2,train
datasets/ravdess/Actor_16/03-01-05-02-01-01-16.wav,ravdess,angry,05,02,01,16,True,HIGH,ALERT,3,train
datasets/ravdess/Actor_16/03-01-07-01-01-01-16.wav,ravdess,disgust,07,01,01,16,True,HIGH,ALERT,4,train
datasets/ravdess/Actor_16/03-01-04-01-01-02-16.wav,ravdess,sad,04,01,01,16,True,HIGH,ALERT,5,train
datasets/ravdess/Actor_16/03-01-04-02-02-02-16.wav,ravdess,sad,04,02,02,16,True,HIGH,ALERT,6,train
datasets/ravdess/Actor_16/03-01-07-02-02-01-16.wav,ravdess,disgust,07,02,02,16,True,HIGH,ALERT,7,train
datasets/ravdess/Actor_16/03-01-08-02-02-01-16.wav,ravdess,surprised,08,02,02,16,False,LOW,NONE,8,train
datasets/ravdess/Actor_16/03-01-08-01-01-01-16.wav,ravdess,surprised,08,01,01,16,False,LOW,NONE,9,train
datasets/ravdess/Actor_16/03-01-03-02-02-02-16.wav,ravdess,happy,03,02,02,16,False,LOW,NONE,10,train
datasets/ravdess/Actor_16/03-01-03-01-01-02-16.wav,ravdess,happy,03,01,01,16,False,LOW,NONE,11,train
datasets/ravdess/Actor_16/03-01-02-02-01-01-16.wav,ravdess,calm,02,02,01,16,False,LOW,NONE,12,train
datasets/ravdess/Actor_16/03-01-01-01-02-02-16.wav,ravdess,neutral,01,01,02,16,False,LOW,NONE,13,train
datasets/ravdess/Actor_16/03-01-02-01-02-01-16.wav,ravdess,calm,02,01,02,16,False,LOW,NONE,14,train
datasets/ravdess/Actor_16/03-01-03-02-01-01-16.wav,ravdess,happy,03,02,01,16,False,LOW,NONE,15,train
